recognized string      |  family       |  line number
'def'                  |  idk          |  1
'main_factorial'       |  idk          |  1
'('                    |  group        |  1
')'                    |  group        |  1
':'                    |  delimiter    |  1
'#{'                   |  group        |  2
'#declare'             |  idk          |  4
'x'                    |  idk          |  4
'#declare'             |  idk          |  5
'i'                    |  idk          |  5
','                    |  delimiter    |  5
'fact'                 |  idk          |  5
'x'                    |  idk          |  7
'='                    |  assignment   |  7
'int'                  |  idk          |  7
'('                    |  group        |  7
'input'                |  idk          |  7
'('                    |  group        |  7
')'                    |  group        |  7
')'                    |  group        |  7
';'                    |  delimiter    |  7
'fact'                 |  idk          |  8
'='                    |  assignment   |  8
'1'                    |  number       |  8
';'                    |  delimiter    |  8
'i'                    |  idk          |  9
'='                    |  assignment   |  9
'1'                    |  number       |  9
';'                    |  delimiter    |  9
'while'                |  idk          |  10
'('                    |  group        |  10
'i'                    |  idk          |  10
'<='                   |  relOperator  |  10
'x'                    |  idk          |  10
')'                    |  group        |  10
':'                    |  delimiter    |  10
'#{'                   |  group        |  11
'fact'                 |  idk          |  12
'='                    |  assignment   |  12
'fact'                 |  idk          |  12
'*'                    |  mulOperator  |  12
'i'                    |  idk          |  12
';'                    |  delimiter    |  12
'i'                    |  idk          |  13
'='                    |  assignment   |  13
'i'                    |  idk          |  13
'+'                    |  addOperator  |  13
'1'                    |  number       |  13
';'                    |  delimiter    |  13
'#}'                   |  group        |  14
'print'                |  idk          |  15
'('                    |  group        |  15
'fact'                 |  idk          |  15
')'                    |  group        |  15
';'                    |  delimiter    |  15
'#}'                   |  group        |  16
'def'                  |  idk          |  18
'main_fibonacci'       |  idk          |  18
'('                    |  group        |  18
')'                    |  group        |  18
':'                    |  delimiter    |  18
'#{'                   |  group        |  19
'#declare'             |  idk          |  20
'x'                    |  idk          |  20
'def'                  |  idk          |  21
'fibonacci'            |  idk          |  21
'('                    |  group        |  21
'x'                    |  idk          |  21
')'                    |  group        |  21
':'                    |  delimiter    |  21
'#{'                   |  group        |  22
'if'                   |  idk          |  23
'('                    |  group        |  23
'x'                    |  idk          |  23
'<='                   |  relOperator  |  23
'1'                    |  number       |  23
')'                    |  group        |  23
':'                    |  delimiter    |  23
'return'               |  idk          |  24
'('                    |  group        |  24
'x'                    |  idk          |  24
')'                    |  group        |  24
';'                    |  delimiter    |  24
'else'                 |  idk          |  25
':'                    |  delimiter    |  25
'return'               |  idk          |  26
'('                    |  group        |  26
'fibonacci'            |  idk          |  26
'('                    |  group        |  26
'x'                    |  idk          |  26
'-'                    |  addOperator  |  26
'1'                    |  number       |  26
')'                    |  group        |  26
'+'                    |  addOperator  |  26
'fibonacci'            |  idk          |  26
'('                    |  group        |  26
'x'                    |  idk          |  26
'-'                    |  addOperator  |  26
'2'                    |  number       |  26
')'                    |  group        |  26
')'                    |  group        |  26
';'                    |  delimiter    |  26
'#}'                   |  group        |  27
'x'                    |  idk          |  28
'='                    |  assignment   |  28
'int'                  |  idk          |  28
'('                    |  group        |  28
'input'                |  idk          |  28
'('                    |  group        |  28
')'                    |  group        |  28
')'                    |  group        |  28
';'                    |  delimiter    |  28
'print'                |  idk          |  29
'('                    |  group        |  29
'fibonacci'            |  idk          |  29
'('                    |  group        |  29
'x'                    |  idk          |  29
')'                    |  group        |  29
')'                    |  group        |  29
';'                    |  delimiter    |  29
'#}'                   |  group        |  30
'def'                  |  idk          |  32
'main_countdigits'     |  idk          |  32
'('                    |  group        |  32
')'                    |  group        |  32
':'                    |  delimiter    |  32
'#{'                   |  group        |  33
'#declare'             |  idk          |  34
'x'                    |  idk          |  34
','                    |  delimiter    |  34
'count'                |  idk          |  34
'x'                    |  idk          |  35
'='                    |  assignment   |  35
'int'                  |  idk          |  35
'('                    |  group        |  35
'input'                |  idk          |  35
'('                    |  group        |  35
')'                    |  group        |  35
')'                    |  group        |  35
';'                    |  delimiter    |  35
'count'                |  idk          |  36
'='                    |  assignment   |  36
'0'                    |  number       |  36
';'                    |  delimiter    |  36
'while'                |  idk          |  37
'('                    |  group        |  37
'x'                    |  idk          |  37
'>'                    |  relOperator  |  37
'0'                    |  number       |  37
')'                    |  group        |  37
':'                    |  delimiter    |  37
'#{'                   |  group        |  38
'x'                    |  idk          |  39
'='                    |  assignment   |  39
'x'                    |  idk          |  39
'//'                   |  mulOperator  |  39
'10'                   |  number       |  39
';'                    |  delimiter    |  39
'count'                |  idk          |  40
'='                    |  assignment   |  40
'count'                |  idk          |  40
'+'                    |  addOperator  |  40
'1'                    |  number       |  40
';'                    |  delimiter    |  40
'#}'                   |  group        |  41
'print'                |  idk          |  42
'('                    |  group        |  42
'count'                |  idk          |  42
')'                    |  group        |  42
';'                    |  delimiter    |  42
'#}'                   |  group        |  43
'def'                  |  idk          |  45
'main_primes'          |  idk          |  45
'('                    |  group        |  45
')'                    |  group        |  45
':'                    |  delimiter    |  45
'#{'                   |  group        |  46
'#declare'             |  idk          |  47
'i'                    |  idk          |  47
'def'                  |  idk          |  48
'isPrime'              |  idk          |  48
'('                    |  group        |  48
'x'                    |  idk          |  48
')'                    |  group        |  48
':'                    |  delimiter    |  48
'#{'                   |  group        |  49
'#declare'             |  idk          |  50
'ibasic'               |  idk          |  50
'def'                  |  idk          |  51
'divides'              |  idk          |  51
'('                    |  group        |  51
'x'                    |  idk          |  51
','                    |  delimiter    |  51
'y'                    |  idk          |  51
')'                    |  group        |  51
':'                    |  delimiter    |  51
'#{'                   |  group        |  52
'if'                   |  idk          |  53
'('                    |  group        |  53
'y'                    |  idk          |  53
'=='                   |  relOperator  |  53
'('                    |  group        |  53
'y'                    |  idk          |  53
'//'                   |  mulOperator  |  53
'x'                    |  idk          |  53
')'                    |  group        |  53
'*'                    |  mulOperator  |  53
'x'                    |  idk          |  53
')'                    |  group        |  53
':'                    |  delimiter    |  53
'return'               |  idk          |  54
'('                    |  group        |  54
'1'                    |  number       |  54
')'                    |  group        |  54
';'                    |  delimiter    |  54
'else'                 |  idk          |  55
':'                    |  delimiter    |  55
'return'               |  idk          |  56
'('                    |  group        |  56
'0'                    |  number       |  56
')'                    |  group        |  56
';'                    |  delimiter    |  56
'#}'                   |  group        |  57
'i'                    |  idk          |  58
'='                    |  assignment   |  58
'2'                    |  number       |  58
';'                    |  delimiter    |  58
'while'                |  idk          |  59
'('                    |  group        |  59
'i'                    |  idk          |  59
'<'                    |  relOperator  |  59
'x'                    |  idk          |  59
